0	0
-0.63917	-0.769065
-0.376539	0.195831
-0.574674	1.17601
-1.5146	0.834616
-2.20756	1.55559
-2.14454	2.55361
-1.27226	2.06461
-0.470464	2.6622
0.522966	2.77665
0.705364	3.75987
0.142961	2.93301
0.235524	1.9373
1.21515	1.73647
0.237918	1.94864
0.449122	0.971199
-0.439865	1.42913
-0.883927	2.32513
-1.77953	1.88027
-1.20851	1.05934
-0.588045	0.275103
-0.166312	-0.631617
-0.847807	0.100206
-1.67286	0.665266
-2.53632	0.160847
-2.59606	-0.837367
-3.03284	-1.73693
-2.37938	-2.49388
-2.00207	-1.56779
